,danger_upward,danger_left,danger_right,danger_downward,fruit_y,fruit_x,up_movement,left_movement,right_movement,down_movement
29,1.0,0.0,1.0,0.0,-1.0,-1.0,-0.017939321619510253,1.795833510801425,-0.017174502414838047,0.043703062370825364
30,0.0,1.0,0.0,0.0,0.0,-1.0,1.295695082023179,-0.01129300171103306,0.010714744848285055,0.03060384806553457
31,0.0,0.0,0.0,1.0,0.0,1.0,0.07442832808170256,0.03478123398820253,4.276863696571221,0.09158134276224576
32,1.0,0.0,0.0,0.0,0.0,1.0,0.9902046829803299,0.24479300688428035,4.44369754073521,0.5759391418448283
33,0.0,1.0,1.0,0.0,1.0,-1.0,0.034949127056481254,-0.013772293957028439,-0.010353996123921868,1.4563095853276589
34,1.0,0.0,0.0,0.0,1.0,0.0,0.8684971179322047,0.5396720074166957,0.5022829706890394,4.603711216950625
35,0.0,1.0,0.0,0.0,1.0,0.0,0.006903170127484629,0.016614713900856223,0.04965232062923881,3.4779459407989903
36,0.0,1.0,0.0,1.0,1.0,0.0,0.0005661983690480546,-0.0019695628161157637,0.15427307316335126,-0.0024604190100328176
37,0.0,0.0,1.0,1.0,1.0,1.0,0.019371694192828207,1.3451864252327792,-0.024551681863988234,-0.01789505629452776
38,1.0,0.0,0.0,1.0,1.0,1.0,-0.011989385222235572,0.01449867354755808,1.1543804854765707,-0.012511119490148088
39,0.0,1.0,0.0,0.0,0.0,1.0,1.4120477003622254,2.8209009126001257,4.583890087988974,1.6364836467844783
40,0.0,0.0,1.0,0.0,0.0,1.0,0.03978185389254447,0.014237890979765955,-0.01685093522854771,1.5490165479226048
41,1.0,0.0,0.0,1.0,1.0,-1.0,-0.006319977181050171,1.777558524786449,0.022776924569505384,-0.0031495754854526147
42,1.0,1.0,0.0,0.0,0.0,-1.0,-0.012811151803522297,-0.014104723627222954,0.009683845488695067,0.8608335729145296
43,0.0,1.0,0.0,1.0,1.0,-1.0,0.048303601625627524,-0.01261413964175853,1.4285929019538564,-0.01707793231971137
44,1.0,0.0,1.0,0.0,1.0,-1.0,0.3020106173045978,0.9064179040218343,0.31879141290227386,2.269382382037595
45,0.0,1.0,1.0,0.0,0.0,-1.0,0.39597807005755925,-0.005661281045855568,-0.0018067877243891713,-0.00012477672134679832
46,1.0,1.0,0.0,0.0,1.0,-1.0,-0.00885883917638703,-0.005817128512983106,0.04705566541308632,1.7504181281355837
47,1.0,0.0,1.0,0.0,1.0,0.0,0.042766060428347144,0.07763611593206408,0.03843778605750981,3.267669369417069
48,0.0,1.0,1.0,1.0,1.0,-1.0,0.7262899047314995,-0.010380042130402256,-0.009137244445895564,-0.009438468674809481
49,1.0,0.0,1.0,0.0,0.0,-1.0,1.0677672557078863,4.262662451576225,1.0467839622933706,0.6999783837598851
50,1.0,1.0,0.0,0.0,-1.0,-1.0,-0.014073145957608214,-0.015923070116534776,1.3046261796878427,0.02275898012311446
51,1.0,0.0,0.0,1.0,-1.0,-1.0,-0.007736948598733846,1.1012721987631704,0.007560833933947396,-0.013141219617304965
52,1.0,0.0,1.0,1.0,-1.0,-1.0,-0.006897760951887844,0.5208513547150083,-0.007545408679721674,-0.007751319279845408
53,1.0,1.0,0.0,1.0,1.0,-1.0,-0.0029204534583363575,-0.004848104465142332,0.15989997778838175,-0.002930923967004247
54,1.0,0.0,0.0,1.0,-1.0,1.0,-0.012647355265477276,0.010809979055742646,1.0235843177045356,-0.012242887439062758
55,1.0,0.0,1.0,0.0,1.0,1.0,0.014782736851980362,0.1306333908572517,0.01544107148667006,2.0064669255033145
56,0.0,1.0,0.0,1.0,1.0,1.0,0.021839195509196344,-0.028046045054434855,1.4259307512086503,-0.024125639071783236
57,0.0,1.0,1.0,1.0,-1.0,-1.0,0.945299808629011,-0.008537783931350105,-0.007388836716239254,-0.007971134344955267
58,1.0,0.0,1.0,1.0,1.0,1.0,-0.008494819329706927,0.3787082764554772,-0.010116045801868161,-0.006032406139135497
59,1.0,0.0,1.0,1.0,1.0,-1.0,0.0005663489684358674,1.761362280813411,-0.007475512246776597,-0.00371223667757101
60,0.0,0.0,1.0,1.0,-1.0,1.0,2.020836044048213,0.14281109085879257,0.013070959607333595,0.014018341683833023
61,0.0,1.0,0.0,1.0,-1.0,1.0,1.040615076696201,0.4237265374666389,2.3936087407415565,0.4253519199129187
62,1.0,1.0,1.0,0.0,-1.0,-1.0,-0.009484335012992192,-0.011630210057660831,-0.008086020769892366,0.23380055765112115
63,1.0,1.0,0.0,0.0,0.0,1.0,0.3333612539468929,0.37343630127249217,4.2592702123427655,0.21339641206687157
64,1.0,1.0,0.0,0.0,1.0,1.0,0.22893881378764971,0.22252350197986334,0.6891649175594159,2.200125218889362
65,1.0,0.0,1.0,0.0,-1.0,1.0,-0.029061385725807434,0.043649071079895935,-0.028337950383605558,1.238227676546059
66,0.0,1.0,1.0,0.0,1.0,0.0,0.00030123422609432756,-0.00293611030259533,-0.004643574189130664,1.1919660226437234
67,0.0,1.0,1.0,1.0,1.0,0.0,0.009718921016649154,-0.0005,-0.0014993738054054789,-0.0019955216683721195
68,0.0,1.0,1.0,0.0,1.0,1.0,0.02447108245240438,0.002129362338450139,0.0005701263359766267,1.9257457601699703
69,1.0,1.0,0.0,0.0,-1.0,1.0,0.006432087461305017,0.004814405545956178,2.062317758431401,0.09842055922377961
70,0.0,0.0,1.0,1.0,-1.0,0.0,4.5129503266424855,0.41506786597406986,0.6253690916206178,0.6633009668399543
71,1.0,0.0,0.0,1.0,0.0,-1.0,0.3178768677773052,4.164382843255118,0.03362648456818214,0.29210856774851585
72,0.0,1.0,1.0,0.0,-1.0,0.0,4.46680770930148,0.12497917037602858,0.1293114262637833,0.0032142081038715646
73,0.0,1.0,1.0,1.0,-1.0,0.0,2.2784650753926208,5.953192301904074e-05,-0.0009002783708193925,0.0005083626277449913
74,0.0,1.0,1.0,0.0,-1.0,1.0,2.092031123901613,0.0028256072501936,0.007807596659143318,0.047392633456138686
75,1.0,1.0,1.0,0.0,-1.0,1.0,-0.010665666247866117,-0.008267486960324708,-0.005530122335313544,0.33976130115581565
76,1.0,1.0,0.0,1.0,-1.0,-1.0,-0.004175443648146482,-0.0066491566123308065,0.20647389584126008,-0.00412950671285349
77,1.0,0.0,1.0,0.0,0.0,1.0,-0.01356305604546108,0.0021535176906055846,-0.011275436644867085,0.529259012838269
78,0.0,1.0,0.0,1.0,0.0,1.0,0.3097345092085032,0.7000259741179643,4.253660729746479,0.700424482127606
79,0.0,1.0,0.0,1.0,-1.0,0.0,4.501068878472581,0.2549834987469205,0.19578216290029268,0.28455544924301096
80,1.0,1.0,0.0,0.0,1.0,0.0,0.018297093376116538,0.023884735402026368,0.06954440958641729,3.0552936519501284
81,0.0,1.0,1.0,1.0,-1.0,1.0,1.7075215645828177,-0.011701611630333564,-0.005285868047814942,-0.013068786100667447
82,1.0,0.0,1.0,0.0,-1.0,0.0,-0.005227979829622958,0.2098988731863639,-0.0032515164591367944,0.0011294157649552408
83,1.0,0.0,0.0,0.0,-1.0,0.0,-0.009865710723181795,0.007007706139396387,0.6941632346389097,0.0012969691369034957
84,1.0,1.0,1.0,0.0,1.0,-1.0,-0.006737841081216406,-0.006877512795313118,-0.005657456697598593,0.40902052022133845
85,1.0,1.0,0.0,1.0,1.0,1.0,-0.01049070804448376,-0.01057204638969951,0.41392611410992514,-0.010663591882662029
86,1.0,1.0,0.0,1.0,-1.0,1.0,-0.009558102870237712,-0.008205236913768673,0.46272680613898454,-0.011586972339388945
87,0.0,1.0,1.0,1.0,1.0,1.0,0.22436052440015547,-0.009550197713900841,-0.007130666894643784,-0.006839760111572119
88,1.0,1.0,1.0,0.0,1.0,1.0,-0.011175389110053056,-0.012726430663726283,-0.01178373147625868,0.7421129544428874
89,1.0,0.0,0.0,1.0,0.0,1.0,0.06749949781702975,0.010607058426417267,3.8966736275563645,0.06979375324423918
90,0.0,1.0,0.0,1.0,0.0,-1.0,0.6941070329387253,-0.010319148516594106,0.0065934084326680475,-0.01147612396287714
91,1.0,0.0,1.0,1.0,-1.0,1.0,-0.006712624227797778,0.4170475694121634,-0.009733056817610693,-0.007547194218091021
92,1.0,1.0,0.0,0.0,-1.0,0.0,-0.004674336644889443,-0.004228314357085205,0.2171478146514633,0.0005000836776115716
93,0.0,0.0,1.0,1.0,1.0,0.0,0.002996949408269771,0.6416953341643032,-0.00996895569556185,-0.008455263176635678
94,0.0,1.0,1.0,0.0,0.0,1.0,0.0015305841897721487,-0.008060483905304158,-0.008223051201268237,0.4477571136849746
95,1.0,1.0,1.0,1.0,1.0,-1.0,-0.02646557906221307,-0.026963582939992636,-0.026963807254745814,-0.026465578860355055
96,1.0,1.0,1.0,1.0,1.0,1.0,-0.030454294954902643,-0.030453398110517577,-0.030454070315093257,-0.030454294954902643
97,1.0,1.0,1.0,1.0,-1.0,-1.0,-0.030454070617691117,-0.030454294954902643,-0.03095254791416023,-0.030454294954902643
98,1.0,1.0,0.0,1.0,1.0,0.0,-0.001970468288160296,-0.000999775973711127,0.033447720175000986,-0.0009957134923647662
99,1.0,1.0,1.0,0.0,-1.0,0.0,-0.0019991271116021523,-0.0024955654980296027,-0.002994328312393508,0.004174202878911746
100,1.0,1.0,0.0,1.0,0.0,-1.0,-0.002462078267657029,-0.0024849515179637977,0.05895693704809015,-0.00392284727244653
101,1.0,0.0,1.0,1.0,0.0,-1.0,0.012735186355552004,3.2106999067579736,0.019509056867323692,0.007260416595201476
102,1.0,0.0,0.0,1.0,-1.0,0.0,-0.0034243077188746075,7.993177193613732e-05,0.11215750784681441,-0.0014305411408496568
103,1.0,0.0,0.0,1.0,1.0,0.0,-0.002943660769485048,0.002729254635073587,0.09394198693216464,-0.0014933322850551917
104,1.0,1.0,1.0,1.0,-1.0,1.0,-0.03344411232635294,-0.03344456056345639,-0.03294643215498292,-0.03294643215498292
105,0.0,1.0,1.0,1.0,0.0,1.0,0.17456203708330323,-0.003871507151729051,-0.004371153073766031,-0.0033652489266088777
106,1.0,1.0,1.0,0.0,0.0,1.0,-0.006100967759168327,-0.004207946349869675,-0.004439488821551796,0.20431383658510807
107,1.0,1.0,1.0,0.0,1.0,0.0,-0.006784523213809456,-0.005679715229426164,-0.0018135983470986138,0.4282204702891622
108,0.0,1.0,1.0,1.0,0.0,-1.0,0.2524650023453106,-0.0035291796029740625,-0.005502273420468601,-0.005126382758723316
109,0.0,0.0,1.0,1.0,0.0,1.0,0.6185420775405791,0.006253017663356918,-0.01029642577903034,-0.00917310269202305
110,1.0,1.0,1.0,1.0,0.0,1.0,-0.01249250287420954,-0.011993102529336008,-0.01249227813281728,-0.011993102529336008
111,1.0,1.0,0.0,1.0,0.0,1.0,0.0008442556827291633,-0.0027252080049957115,2.1834750505516043,-0.0026849239446919597
112,1.0,0.0,1.0,1.0,0.0,1.0,-0.0054164944638769846,0.04951199916290867,-0.003954374379689604,-0.003944821037890555
113,1.0,1.0,0.0,1.0,-1.0,0.0,-0.0019828945755507154,-0.0009998119707738387,0.04850180106044508,-0.0009804317299768627
114,1.0,0.0,1.0,1.0,-1.0,0.0,-0.003458482968256621,0.036398504156039485,-0.0014935486400501211,-0.00249443781335225
115,1.0,0.0,1.0,1.0,1.0,0.0,-0.001830482097108574,0.2405349701307288,-0.0041786149798664456,-0.0033072828090413803
116,1.0,1.0,1.0,1.0,-1.0,0.0,-0.007996551115968116,-0.007997000497563385,-0.0074973755686646975,-0.0074973755686646975
117,1.0,1.0,1.0,0.0,0.0,-1.0,-0.003408131681493849,-0.0019461846929170917,-0.0014949513099922684,0.09268037389105131
118,1.0,1.0,1.0,1.0,1.0,0.0,-0.0054986252062293765,-0.0054986252062293765,-0.004998875149986876,-0.004998875149986876
119,1.0,1.0,1.0,1.0,0.0,-1.0,-0.014989130073287631,-0.015487931369935771,-0.014989130073287631,-0.014989130073287631
